ticker,date,mode,ground_truth,prediction,confidence,hallucination_risk,reasoning,correct
TCS,2022-01-03,no_rag,UP,UP,HIGH,LOW,"The closing price of TCS on 2022-01-03 is higher than the opening price, indicating a positive trend. The high and low prices also suggest a strong upward movement.",True
TCS,2022-01-03,top_3,UP,DOWN,HIGH,LOW,"The stock price has been trending downwards since February 2022. The high and close prices on May 30th were lower than the corresponding values in February, indicating a decline.",False
TCS,2022-01-03,top_5,UP,DOWN,HIGH,LOW,"The stock has been trending downwards since February 2022. The high and close prices have consistently decreased over the period, indicating a bearish trend.",False
TCS,2022-04-21,no_rag,DOWN,UP,HIGH,LOW,"The closing price of TCS on 2022-04-21 is higher than the opening price, indicating a bullish trend. The high and low prices also suggest a strong upward movement.",False
TCS,2022-04-21,top_3,DOWN,DOWN,HIGH,LOW,"The stock price has been trending downwards from its high on 2022-04-21 (3224.28) to its close on 2022-06-21 (2873.24), indicating a decline of around 10%. Additionally, the open and low prices on 2022-07-21 are lower than their counterparts on 2022-04-21.",True
TCS,2022-04-21,top_5,DOWN,DOWN,MEDIUM,LOW,"The stock price on 2022-04-21 was at a relatively high point (3224.28), and the open price is lower than that. This suggests a potential correction or downward trend.",True
TCS,2022-08-03,no_rag,UP,UP,HIGH,LOW,"The closing price of TCS on 2022-08-03 is higher than the opening price, indicating a bullish trend. The high and low prices also suggest a strong upward momentum.",True
TCS,2022-08-03,top_3,UP,UP,HIGH,LOW,"The stock has been trending upwards since February 18th (Source 2), with a high of 3390.71 and a close of 3371.12, indicating strong buying pressure. The recent closing price on August 3rd is higher than the previous highs in July and September, suggesting continued upward momentum.",True
TCS,2022-08-03,top_5,UP,UP,HIGH,LOW,"The stock has been trending upwards since February 18th, with the highest close on July 6th and a relatively high close on August 23rd. The recent closing price of $2995.226806640625 is closer to the highs than the lows.",True
TCS,2022-11-22,no_rag,UP,UP,HIGH,LOW,"The closing price of TCS on 2022-11-22 is higher than the opening price, indicating a bullish trend. The high and low prices also suggest a strong upward movement.",True
TCS,2022-11-22,top_3,UP,UP,HIGH,LOW,"The stock closed at a higher price on 2022-11-22 compared to the previous day's close (2980.9 vs 2952.62). Additionally, the high of 2984.5 on 2022-11-22 is higher than the high of 2997.76 on 2022-11-21.",True
TCS,2022-11-22,top_5,UP,UP,HIGH,LOW,"The stock has been trending upwards with a high of 3051.04 on 2022-11-24 and a close of 2980.9 on 2022-11-22, indicating an upward momentum.",True
TCS,2023-03-06,no_rag,DOWN,UP,HIGH,LOW,"The closing price of TCS on 2023-03-06 is 3100.989013671875, which is higher than the opening price and the low of the day. This suggests a bullish trend.",False
TCS,2023-03-06,top_3,DOWN,DOWN,HIGH,LOW,"The stock price on 2023-06-02 was higher than the given close price on 2023-03-06, and it continued to decline until 2023-06-06. Additionally, the high price on 2023-10-06 is significantly higher than the given high price on 2023-03-06.",True
